"Category","Price","Rating","Stock","Discount","Purchased","prob"
"",5548,1.870322016,"",0,0,0.15185451929552
"",3045,4.757798058,"",38,0,0.304066493931029
"",4004,NA,"In Stock",0,1,0.236888361359063
"",4808,1.492084885,"",33,0,0.189021962766074
"",1817,NA,"Out of Stock",23,0,0.403639584828079
"",3522,NA,"",NA,0,0.269330796452148
"C",667,3.668340748,"In Stock",41,1,0.504890141895306
"A",7125,4.983998118,"Out of Stock",7,0,0.0926074986016337
"A",2777,2.678384421,"In Stock",6,1,0.324649229657004
"",463,4.626187281,"",3,0,0.523051411214153
